timestamp,coin,signal,confidence,entry_price,exit_price,pnl_percent,status
2026-06-07 23:16:06,XRP,BUY,64,1.1685,1.1523,-1.39,CLOSED
2026-06-08 00:04:15,APT,REDUCE,64,0.672,0.681,-1.34,CLOSED
2026-06-08 00:16:16,BTC,BUY,74,62925.0,63667.01,1.18,CLOSED
2026-06-08 01:12:43,ETH,BUY,67,1685.39,1705.77,1.21,CLOSED
2026-06-08 11:42:35,OP,REDUCE,71,0.0978,0.099,-1.23,CLOSED
2026-06-08 11:44:34,BTC,BUY,72,63240.01,63905.88,1.05,CLOSED
2026-06-08 13:05:18,ETH,BUY,73,1674.58,1692.64,1.08,CLOSED
2026-06-09 03:33:04,ETH,BUY,72,1663.37,1681.13,1.07,CLOSED
2026-06-09 03:42:10,SOL,BUY,73,65.65,66.72,1.63,CLOSED
2026-06-09 03:44:09,AVAX,BUY,72,6.629,6.728,1.49,CLOSED
2026-06-09 06:24:51,ARB,BUY,73,0.082,0.0811,-1.10,CLOSED
2026-06-09 06:26:13,SUI,BUY,68,0.7579,0.7485,-1.24,CLOSED
2026-06-10 21:03:27,BTC,BUY,68,62010.0,61148.75,-1.39,CLOSED
2026-06-12 23:24:13,SUI,BUY,78,0.7498,0.7577,1.05,CLOSED
2026-06-14 19:54:15,XRP,BUY,71,1.1331,1.2258,8.18,CLOSED
2026-06-16 19:22:41,BTC,BUY,74,65991.54,65110.63,-1.33,CLOSED
